Area_Income,Area_Number_Rooms,Area_Number_Bedrooms,Area_Population,Area_House_Age,Price
79545.45857,7.009188143,4.09,23086.8005,5.682861322,1059033.558
79248.64245,6.730821019,3.09,40173.07217,6.002899808,1505890.915
61287.06718,8.51272743,5.13,36882.1594,5.86588984,1058987.988
63345.24005,5.586728665,3.26,34310.24283,7.188236095,1260616.807
59982.19723,7.839387785,4.23,26354.10947,5.040554523,630943.4893
80175.75416,6.104512439,4.04,26748.42842,4.988407758,1068138.074
64698.46343,8.147759585,3.41,60828.24909,6.025335907,1502055.817
78394.33928,6.620477995,2.42,36516.35897,6.989779748,1573936.564
59927.66081,6.393120981,2.3,29387.396,5.36212557,798869.5328
81885.92718,8.167688003,6.1,40149.96575,4.42367179,1545154.813
80527.47208,5.0427468,4.1,47224.35984,8.093512681,1707045.722
50593.6955,7.467627404,4.49,34343.99189,4.496512793,663732.3969
39033.80924,7.250029317,3.1,39220.36147,7.671755373,1042814.098
73163.66344,5.993187901,2.27,32326.12314,6.919534825,1291331.518
69391.38018,8.406417715,4.37,35521.29403,5.344776177,1402818.21
73091.86675,8.517512711,4.01,23929.52405,5.443156467,1306674.66
79706.96306,8.219771123,3.12,39717.81358,5.067889591,1556786.6
61929.07702,5.097009554,4.3,24595.9015,4.788550242,528485.2467
63508.1943,7.187773835,5.12,35719.65305,5.94716514,1019425.937
62085.2764,7.091808104,5.49,44922.1067,5.739410844,1030591.429
86294.99909,8.011897853,4.07,47560.77534,6.62745694,2146925.34
60835.08998,6.517175038,2.1,45574.74166,5.551221592,929247.5995
64490.65027,5.478087731,4.31,40358.96011,4.21032287,718887.2315
60697.35154,7.150536572,6.34,28140.96709,6.170484091,743999.8192
59748.85549,7.748681606,4.23,27809.98654,5.339339881,895737.1334
56974.47654,7.312879971,4.33,40694.86951,8.287562194,1453974.506
82173.62608,6.992698757,2.03,38853.91807,4.018524685,1125692.507
64626.88098,6.988753539,4,27784.74228,5.44335959,975429.4928
90499.05745,4.242191302,3.04,33970.16499,6.384358921,1240763.766
59323.7921,8.273697078,4.07,37520.65773,6.97782794,1577017.76
77811.52203,6.686686133,3.24,33754.7378,5.314460215,1246830.188
68652.60921,6.290820167,4.42,39355.62573,6.1243421,1170720.894
55041.35158,8.591923294,5.36,30122.47348,7.127128553,1071279.21
